Iteration,Time,Fitness,FEvals,max_iters,Algorithm
371,0.04828490000363672,1816.0,429.0,4096,SA
372,0.04837970000517089,1816.0,430.0,4096,SA
373,0.04847430000518216,1816.0,431.0,4096,SA
374,0.0485703000013018,1816.0,432.0,4096,SA
375,0.04866580000089016,1816.0,433.0,4096,SA
376,0.04876250000233995,1816.0,434.0,4096,SA
377,0.048860200004128274,1816.0,435.0,4096,SA
378,0.04895799999940209,1816.0,436.0,4096,SA
379,0.049053700000513345,1816.0,437.0,4096,SA
380,0.049154700005601626,1816.0,438.0,4096,SA
381,0.0492551999996067,1816.0,439.0,4096,SA
382,0.04935310000291793,1816.0,440.0,4096,SA
383,0.04945199999929173,1816.0,441.0,4096,SA
384,0.04955090000294149,1816.0,442.0,4096,SA
385,0.04965040000388399,1816.0,443.0,4096,SA
386,0.04975009999907343,1816.0,444.0,4096,SA
387,0.0498513999991701,1816.0,445.0,4096,SA
388,0.049951200002396945,1816.0,446.0,4096,SA
389,0.050053099999786355,1816.0,447.0,4096,SA
390,0.050154399999883026,1816.0,448.0,4096,SA
391,0.05025640000530984,1816.0,449.0,4096,SA
392,0.05035930000303779,1816.0,450.0,4096,SA
393,0.050464400002965704,1816.0,451.0,4096,SA
394,0.05056890000560088,1816.0,452.0,4096,SA
395,0.05067530000087572,1816.0,453.0,4096,SA
396,0.05077990000427235,1816.0,454.0,4096,SA
397,0.050885100004961714,1816.0,455.0,4096,SA
398,0.05099000000336673,1816.0,456.0,4096,SA
399,0.051093200003379025,1816.0,457.0,4096,SA
400,0.05119570000533713,1816.0,458.0,4096,SA
401,0.051299200000357814,1816.0,459.0,4096,SA
402,0.05140140000003157,1816.0,460.0,4096,SA
403,0.05150240000511985,1816.0,461.0,4096,SA
404,0.051606100001663435,1816.0,462.0,4096,SA
405,0.0517111000008299,1816.0,463.0,4096,SA
406,0.051814099999319296,1816.0,464.0,4096,SA
407,0.05191670000203885,1816.0,465.0,4096,SA
408,0.0520230000038282,1816.0,466.0,4096,SA
409,0.05213780000485713,1816.0,467.0,4096,SA
410,0.052241900004446507,1816.0,468.0,4096,SA
411,0.05235010000615148,1816.0,469.0,4096,SA
412,0.05245670000294922,1816.0,470.0,4096,SA
413,0.05256290000397712,1816.0,471.0,4096,SA
414,0.05266929999925196,1816.0,472.0,4096,SA
415,0.05277539999951841,1816.0,473.0,4096,SA
416,0.052881000003253575,1816.0,474.0,4096,SA
417,0.05298860000038985,1816.0,475.0,4096,SA
418,0.053094499999133404,1816.0,476.0,4096,SA
419,0.053200599999399856,1816.0,477.0,4096,SA
420,0.05330890000186628,1816.0,478.0,4096,SA
421,0.053420700001879595,1816.0,479.0,4096,SA
422,0.05353070000273874,1816.0,480.0,4096,SA
423,0.05363950000173645,1816.0,481.0,4096,SA
424,0.05374780000420287,1816.0,482.0,4096,SA
425,0.05385799999930896,1816.0,483.0,4096,SA
